Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    12302     0.00     0.00  getPositionFromCoordinates_board2D
  0.00      0.00     0.00     8094     0.00     0.00  getCard_board2D
  0.00      0.00     0.00     4050     0.00     0.00  isCardPlacedAt
  0.00      0.00     0.00     1737     0.00     0.00  getCardStatus
  0.00      0.00     0.00     1055     0.00     0.00  isFlipped
  0.00      0.00     0.00      384     0.00     0.00  getCard_hand
  0.00      0.00     0.00      349     0.00     0.00  getCardEnumName
  0.00      0.00     0.00      261     0.00     0.00  getCardName
  0.00      0.00     0.00      261     0.00     0.00  print_cardName
  0.00      0.00     0.00      200     0.00     0.00  getHand
  0.00      0.00     0.00      156     0.00     0.00  max
  0.00      0.00     0.00      156     0.00     0.00  min
  0.00      0.00     0.00      141     0.00     0.00  setCardStatus
  0.00      0.00     0.00      137     0.00     0.00  getBoundingBox
  0.00      0.00     0.00      125     0.00     0.00  getFactionName
  0.00      0.00     0.00      119     0.00     0.00  print_nom_faction
  0.00      0.00     0.00      111     0.00     0.00  getFactionDdrsPoints
  0.00      0.00     0.00      110     0.00     0.00  push_deck
  0.00      0.00     0.00       98     0.00     0.00  getBoundingBoxOfTheBoardToPrint
  0.00      0.00     0.00       98     0.00     0.00  showBoard
  0.00      0.00     0.00       94     0.00     0.00  setCardEffectDescription
  0.00      0.00     0.00       94     0.00     0.00  setCardName
  0.00      0.00     0.00       94     0.00     0.00  setNumberOfOccurrence
  0.00      0.00     0.00       78     0.00     0.00  addCard_board2D
  0.00      0.00     0.00       62     0.00     0.00  copy
  0.00      0.00     0.00       48     0.00     0.00  pop_deck
  0.00      0.00     0.00       48     0.00     0.00  setCard_hand
  0.00      0.00     0.00       45     0.00     0.00  getFaction_board2D
  0.00      0.00     0.00       39     0.00     0.00  flipCard
  0.00      0.00     0.00       39     0.00     0.00  setFactionDdrsPoints
  0.00      0.00     0.00       38     0.00     0.00  showHand
  0.00      0.00     0.00       36     0.00     0.00  getCardEffectDescription
  0.00      0.00     0.00       36     0.00     0.00  printDdrsPts
  0.00      0.00     0.00       36     0.00     0.00  showCardEffect
  0.00      0.00     0.00       33     0.00     0.00  isValidPlace
  0.00      0.00     0.00       33     0.00     0.00  setFactionDdrsPointsLEGIT
  0.00      0.00     0.00       32     0.00     0.00  askCardWantToPlay
  0.00      0.00     0.00       32     0.00     0.00  const_card
  0.00      0.00     0.00       32     0.00     0.00  discardCard_hand
  0.00      0.00     0.00       32     0.00     0.00  putDownCard
  0.00      0.00     0.00       30     0.00     0.00  askWhereWantToPlaceCard
  0.00      0.00     0.00       18     0.00     0.00  getDeck
  0.00      0.00     0.00       10     0.00     0.00  applyFCEffect
  0.00      0.00     0.00        7     0.00     0.00  getNbRoundWin
  0.00      0.00     0.00        6     0.00     0.00  drawCards
  0.00      0.00     0.00        4     0.00     0.00  askReshuffle
  0.00      0.00     0.00        4     0.00     0.00  hasTheDeckBeenShuffled
  0.00      0.00     0.00        4     0.00     0.00  setNbRoundWin
  0.00      0.00     0.00        4     0.00     0.00  shuffle_deck
  0.00      0.00     0.00        3     0.00     0.00  clearBoard
  0.00      0.00     0.00        3     0.00     0.00  getEnemyFaction
  0.00      0.00     0.00        3     0.00     0.00  newRound
  0.00      0.00     0.00        3     0.00     0.00  reset_board2D
  0.00      0.00     0.00        2     0.00     0.00  applyCafeEffect
  0.00      0.00     0.00        2     0.00     0.00  applyFISAEffect
  0.00      0.00     0.00        2     0.00     0.00  applyLIIensEffect
  0.00      0.00     0.00        2     0.00     0.00  applyTheEffect
  0.00      0.00     0.00        2     0.00     0.00  discardHand
  0.00      0.00     0.00        2     0.00     0.00  initFaction
  0.00      0.00     0.00        2     0.00     0.00  init_deck
  0.00      0.00     0.00        2     0.00     0.00  init_hand
  0.00      0.00     0.00        2     0.00     0.00  printRoundWinner
  0.00      0.00     0.00        2     0.00     0.00  reset_hand
  0.00      0.00     0.00        2     0.00     0.00  reshuffleDeck
  0.00      0.00     0.00        2     0.00     0.00  roundWinner
  0.00      0.00     0.00        2     0.00     0.00  setFactionName
  0.00      0.00     0.00        2     0.00     0.00  shuffleDeck
  0.00      0.00     0.00        1     0.00     0.00  applyCatherineEffect
  0.00      0.00     0.00        1     0.00     0.00  applyEcologIIEEffect
  0.00      0.00     0.00        1     0.00     0.00  applyFetiaEffect
  0.00      0.00     0.00        1     0.00     0.00  applyHeuresSupEffect
  0.00      0.00     0.00        1     0.00     0.00  applyIsolationEffect
  0.00      0.00     0.00        1     0.00     0.00  applyLucienneEffect
  0.00      0.00     0.00        1     0.00     0.00  applyMassinissaEffect
  0.00      0.00     0.00        1     0.00     0.00  applyMouilleronEffect
  0.00      0.00     0.00        1     0.00     0.00  applySoiree_sans_alcoolEffect
  0.00      0.00     0.00        1     0.00     0.00  createBoard
  0.00      0.00     0.00        1     0.00     0.00  delete_board2D
  0.00      0.00     0.00        1     0.00     0.00  freeBoard
  0.00      0.00     0.00        1     0.00     0.00  init_board2D
  0.00      0.00     0.00        1     0.00     0.00  listFactions
  0.00      0.00     0.00        1     0.00     0.00  print_pts
  0.00      0.00     0.00        1     0.00     0.00  reprographie_nbpoints
  0.00      0.00     0.00        1     0.00     0.00  showWinner
